user_ID,subscription_type,monthly_revenue,join_date,last_payment_date,country,age,gender,device
1,Basic,10,15-01-22,10/6/2023,United States,28,Male,Smartphone
2,Premium,15,5/9/2021,22-06-23,Canada,35,Female,Tablet
3,Standard,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV
4,Standard,12,10/7/2022,26-06-23,Australia,51,Female,Laptop
5,Basic,10,1/5/2023,28-06-23,Germany,33,Male,Smartphone
6,Premium,15,18-03-22,27-06-23,France,29,Female,Smart TV
7,Standard,12,9/12/2021,25-06-23,Brazil,46,Male,Tablet
8,Basic,10,2/4/2023,24-06-23,Mexico,39,Female,Laptop
9,Standard,12,20-10-22,23-06-23,Spain,37,Male,Smartphone
10,Premium,15,7/1/2023,22-06-23,Italy,44,Female,Smart TV
11,Basic,10,16-05-22,22-06-23,United States,31,Female,Smartphone
12,Premium,15,23-03-23,28-06-23,Canada,45,Male,Tablet
13,Standard,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop
14,Basic,10,1/8/2022,26-06-23,Australia,27,Male,Smartphone
15,Standard,12,9/5/2023,28-06-23,Germany,38,Female,Smart TV
16,Premium,15,7/4/2022,27-06-23,France,36,Male,Tablet
17,Basic,10,24-01-22,25-06-23,Brazil,30,Female,Laptop
18,Standard,12,18-10-21,24-06-23,Mexico,43,Male,Smartphone
19,Premium,15,15-02-23,23-06-23,Spain,32,Female,Smart TV
20,Basic,10,27-05-23,22-06-23,Italy,41,Male,Tablet
21,Premium,15,10/6/2023,22-06-23,United States,26,Female,Laptop
22,Basic,10,22-07-22,28-06-23,Canada,34,Male,Smartphone
23,Standard,12,5/12/2021,27-06-23,United Kingdom,49,Female,Smart TV
24,Standard,12,3/4/2022,26-06-23,Australia,31,Male,Tablet
25,Basic,10,14-03-23,28-06-23,Germany,40,Female,Laptop
26,Premium,15,12/1/2022,27-06-23,France,29,Male,Smartphone
27,Basic,10,29-08-22,25-06-23,Brazil,47,Female,Smart TV
28,Standard,12,27-09-21,24-06-23,Mexico,33,Male,Tablet
29,Premium,15,19-12-22,23-06-23,Spain,36,Female,Laptop
30,Basic,10,17-05-23,22-06-23,Italy,42,Male,Smartphone
31,Premium,15,3/2/2023,22-06-23,United States,28,Female,Smart TV
32,Basic,10,7/7/2022,28-06-23,Canada,37,Male,Tablet
33,Standard,12,21-01-22,27-06-23,United Kingdom,41,Female,Laptop
34,Standard,12,25-05-22,26-06-23,Australia,29,Male,Smartphone
35,Basic,10,11/4/2023,28-06-23,Germany,39,Female,Smart TV
36,Premium,15,1/3/2022,27-06-23,France,35,Male,Tablet
37,Basic,10,14-09-22,25-06-23,Brazil,45,Female,Laptop
38,Standard,12,5/11/2021,24-06-23,Mexico,32,Male,Smartphone
39,Premium,15,28-12-22,23-06-23,Spain,27,Female,Smart TV
40,Basic,10,7/3/2023,22-06-23,Italy,48,Male,Tablet
41,Premium,15,20-01-23,22-06-23,United States,31,Female,Laptop
42,Basic,10,15-06-22,28-06-23,Canada,40,Male,Smartphone
43,Standard,12,7/2/2022,27-06-23,United Kingdom,36,Female,Smart TV
44,Standard,12,26-04-22,26-06-23,Australia,29,Male,Tablet
45,Basic,10,28-01-23,28-06-23,Germany,43,Female,Laptop
46,Premium,15,23-02-22,27-06-23,France,34,Male,Smartphone
47,Basic,10,5/10/2022,25-06-23,Brazil,39,Female,Smart TV
48,Standard,12,15-09-21,24-06-23,Mexico,32,Male,Tablet
49,Premium,15,10/11/2022,23-06-23,Spain,28,Female,Laptop
50,Basic,10,2/6/2023,22-06-23,Italy,45,Male,Smartphone
51,Premium,15,27-02-23,22-06-23,United States,30,Female,Smart TV
52,Basic,10,29-08-22,28-06-23,Canada,37,Male,Tablet
53,Standard,12,13-01-22,27-06-23,United Kingdom,41,Female,Laptop
54,Standard,12,30-06-22,26-06-23,Australia,29,Male,Smartphone
55,Basic,10,20-04-23,28-06-23,Germany,39,Female,Smart TV
56,Premium,15,15-03-22,27-06-23,France,36,Male,Tablet
57,Basic,10,1/10/2022,25-06-23,Brazil,46,Female,Laptop
58,Standard,12,8/10/2021,24-06-23,Mexico,34,Male,Smartphone
59,Premium,15,3/12/2022,23-06-23,Spain,27,Female,Smart TV
60,Basic,10,14-06-23,22-06-23,Italy,42,Male,Tablet
61,Premium,15,8/2/2023,22-06-23,United States,28,Female,Laptop
62,Basic,10,3/8/2022,28-06-23,Canada,37,Male,Smartphone
63,Standard,12,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV
64,Standard,12,20-06-22,26-06-23,Australia,29,Male,Tablet
65,Basic,10,29-03-23,28-06-23,Germany,40,Female,Laptop
66,Premium,15,30-01-22,27-06-23,France,29,Male,Smartphone
67,Basic,10,18-09-22,25-06-23,Brazil,47,Female,Smart TV
68,Standard,12,9/11/2021,24-06-23,Mexico,33,Male,Tablet
69,Premium,15,23-12-22,23-06-23,Spain,36,Female,Laptop
70,Basic,10,8/5/2023,22-06-23,Italy,41,Male,Smartphone
71,Basic,10,26-01-22,20-06-23,United States,27,Male,Smartphone
72,Basic,10,11/10/2022,22-06-23,Canada,31,Female,Smartphone
73,Standard,12,27-09-22,26-06-23,United Kingdom,28,Female,Laptop
74,Premium,13,14-12-22,25-06-23,Australia,41,Female,Smartphone
75,Basic,13,28-05-22,26-06-23,Germany,28,Female,Laptop
76,Basic,13,29-12-21,26-06-23,France,51,Female,Laptop
77,Premium,15,25-12-22,23-06-23,Brazil,45,Female,Smartphone
78,Standard,15,18-11-22,28-06-23,Mexico,49,Male,Tablet
79,Standard,15,3/12/2022,25-06-23,Spain,43,Female,Laptop
80,Basic,12,8/11/2022,22-06-23,Italy,43,Male,Tablet
81,Premium,10,11/1/2023,24-06-23,United States,37,Male,Tablet
82,Standard,12,7/12/2022,28-06-23,Canada,35,Male,Laptop
83,Basic,10,20-10-22,26-06-23,United Kingdom,46,Female,Smartphone
84,Standard,12,13-04-23,25-06-23,Australia,32,Male,Smartphone
85,Premium,10,6/4/2023,27-06-23,Germany,37,Female,Laptop
86,Basic,11,4/3/2022,25-06-23,France,29,Female,Smartphone
87,Premium,15,28-12-21,23-06-23,Brazil,45,Male,Smart TV
88,Standard,12,27-09-22,28-06-23,Mexico,47,Male,Tablet
89,Basic,15,20-10-22,26-06-23,Spain,39,Male,Smartphone
90,Standard,13,3/2/2023,23-06-23,Italy,49,Female,Smartphone
91,Premium,11,3/10/2022,23-06-23,United States,39,Male,Tablet
92,Basic,14,5/1/2022,28-06-23,Canada,39,Male,Smart TV
93,Standard,12,5/2/2022,26-06-23,United Kingdom,35,Male,Smartphone
94,Premium,12,19-03-22,25-06-23,Australia,44,Male,Smartphone
95,Basic,11,28-02-22,25-06-23,Germany,34,Male,Laptop
96,Premium,14,26-07-22,24-06-23,France,32,Male,Laptop
97,Basic,10,5/3/2022,24-06-23,Brazil,29,Female,Tablet
98,Standard,13,7/3/2022,28-06-23,Mexico,31,Female,Tablet
99,Standard,12,13-01-23,24-06-23,Spain,29,Female,Tablet
100,Basic,12,22-01-23,25-06-23,Italy,35,Male,Laptop
101,Premium,11,17-10-22,24-06-23,United States,46,Female,Tablet
102,Basic,12,29-03-22,28-06-23,Canada,31,Male,Tablet
103,Standard,13,4/4/2022,26-06-23,United Kingdom,36,Male,Laptop
104,Premium,10,8/6/2022,25-06-23,Australia,38,Male,Laptop
105,Basic,11,4/3/2022,27-06-23,Germany,46,Female,Laptop
106,Premium,10,18-03-22,24-06-23,France,49,Female,Tablet
107,Basic,14,7/3/2022,24-06-23,Brazil,29,Female,Smart TV
108,Standard,12,24-05-22,25-06-23,Mexico,27,Female,Smart TV
109,Standard,13,8/2/2023,25-06-23,Spain,35,Female,Tablet
110,Basic,13,26-01-23,24-06-23,Italy,37,Female,Laptop
111,Premium,14,14-07-22,27-06-23,United States,40,Male,Tablet
